index,kind,zil_name,japanese_source,my_english,infocom_zil
78,room,GAS-ROOM,ここは石炭ガスの悪臭が漂う小部屋{05}上に登る短い階段と、東に向かうトンネルが,THIS IS A SMALL ROOM WHICH SMELLS STRONGLY OF COAL GAS. THERE IS A SHORT CLIMB UP SOME STAIRS AND A NARROW TUNNEL LEADING EAST.,This is a small room which smells strongly of coal gas. There is a short climb up some stairs and a narrow tunnel leading east.
79,room,LADDER-BOTTOM,少し広くなった部屋{05}隅のほうには狭い木のはしごの下の部分が{09}西と南には他の部屋に通じる通路が,THIS IS A RATHER WIDE ROOM. ON ONE SIDE IS THE BOTTOM OF A NARROW WOODEN LADDER. TO THE WEST AND THE SOUTH ARE PASSAGES LEAVING THE ROOM.,This is a rather wide room. On one side is the bottom of a narrow wooden ladder. To the west and the south are passages leaving the room.
80,room,LADDER-TOP,とても小さな部屋{05}隅のほうには下に続く、がたがたの木のはしごが{06}痛んではいますが、下に降りるのは大丈夫でしょう。上に行く階段も,"THIS IS A VERY SMALL ROOM. IN THE CORNER IS A RICKETY WOODEN LADDER, LEADING DOWNWARD. IT MIGHT BE SAFE TO DESCEND. THERE IS ALSO A STAIRCASE LEADING UPWARD.","This is a very small room. In the corner is a rickety wooden ladder, leading downward. It might be safe to descend. There is also a staircase leading upward."
81,room,LOWER-SHAFT,すきま風の吹く小部屋{05}頭上には長いたて穴があいて/南には通路が、東には非常に狭い通路が{06}たて穴の中には重そうな鉄の鎖が,THIS IS A SMALL DRAFTY ROOM IN WHICH IS THE BOTTOM OF A LONG SHAFT. TO THE SOUTH IS A PASSAGEWAY AND TO THE EAST A VERY NARROW PASSAGE. IN THE SHAFT CAN BE SEEN A HEAVY IRON CHAIN.,This is a small drafty room in which is the bottom of a long shaft. To the south is a passageway and to the east a very narrow passage. In the shaft can be seen a heavy iron chain.
82,room,MINE-ENTRANCE,炭坑らしき所の入口に立{08}西側の壁にはたて穴、部屋の南端には別の出口が,"YOU ARE STANDING AT THE ENTRANCE OF WHAT MIGHT HAVE BEEN A COAL MINE. THE SHAFT ENTERS THE WEST WALL, AND THERE IS ANOTHER EXIT ON THE SOUTH END OF THE ROOM.","You are standing at the entrance of what might have been a coal mine. The shaft enters the west wall, and there is another exit on the south end of the room."
83,room,SHAFT-ROOM,ここは大きな部屋{05}真ん中には、下の暗闇へと続く小さなたて穴が{06}西と北には出口が{06}たて穴の上には、金属製の枠組みがあって、そこに鉄の鎖が井戸のツルのようにつながって,"THIS IS A LARGE ROOM, IN THE MIDDLE OF WHICH IS A SMALL SHAFT DESCENDING THROUGH THE FLOOR INTO DARKNESS BELOW. TO THE WEST AND THE NORTH ARE EXITS FROM THIS ROOM. CONSTRUCTED OVER THE TOP OF THE SHAFT IS A METAL FRAMEWORK TO WHICH A HEAVY IRON CHAIN IS ATTACHED.","This is a large room, in the middle of which is a small shaft descending through the floor into darkness below. To the west and the north are exits from this room. Constructed over the top of the shaft is a metal framework to which a heavy iron chain is attached."
84,room,SMELLY-ROOM,ここはこれといった特徴もない小さな部屋{05}下に向かう階段の向こうからは妙な臭いがしますが、何か見つけられるかもしれ{03}南には狭いトンネルが,"THIS IS A SMALL NONDESCRIPT ROOM. HOWEVER, FROM THE DIRECTION OF A SMALL DESCENDING STAIRCASE A FOUL ODOR CAN BE DETECTED. TO THE SOUTH IS A NARROW TUNNEL.","This is a small nondescript room. However, from the direction of a small descending staircase a foul odor can be detected. To the south is a narrow tunnel."
85,room,SQUEEKY-ROOM,小部屋の中に/奇妙なキーキーという音は北端にある通路から聞こえてくる{04}[YOU]は東に逃げることもできます。,YOU ARE IN A SMALL ROOM. STRANGE SQUEAKY SOUNDS MAY BE HEARD COMING FROM THE PASSAGE AT THE NORTH END. YOU MAY ALSO ESCAPE TO THE EAST.,You are in a small room. Strange squeaky sounds may be heard coming from the passage at the north end. You may also escape to the east.
86,room,TIMBER-ROOM,ここは狭くて長い通路{05}砕けた材木が散らか{08}東西の通路は、東へ向かう通路は広く、西へ向かう狭い通路は小部屋へと通じて/西からはすきま風が吹き込んで,"THIS IS A LONG AND NARROW PASSAGE, WHICH IS CLUTTERED WITH BROKEN TIMBERS. A WIDE PASSAGE COMES FROM THE EAST AND TURNS AT THE WEST END OF THE ROOM INTO A VERY NARROW PASSAGEWAY. FROM THE WEST COMES A STRONG DRAFT.","This is a long and narrow passage, which is cluttered with broken timbers. A wide passage comes from the east and turns at the west end of the room into a very narrow passageway. From the west comes a strong draft."
87,obj,JADE,小さな立像があります。ヒスイでつくられた美しい像です。,THERE IS A SMALL STATUE HERE. IT IS A BEAUTIFUL FIGURE CARVED FROM JADE.,There is an exquisite jade figurine here.
90,room,SLIDE-ROOM,ここは炭坑の一部だったような小部屋{05}南側の壁には「みかげ石の壁で唱えよ」という言葉が刻みつけられて/東には長く続く通路が、下方には曲がりくねっている金属製のすべり台が{06}北側には小さな戸口が,"THIS IS A SMALL CHAMBER, WHICH APPEARS TO HAVE BEEN PART OF A COAL MINE. ON THE SOUTH WALL OF THE CHAMBER THE LETTERS ""GRANITE WALL"" ARE ETCHED IN THE ROCK. TO THE EAST IS A LONG PASSAGE, AND THERE IS A STEEP METAL SLIDE TWISTING DOWNWARD. TO THE NORTH IS A SMALL OPENING.","This is a small chamber, which appears to have been part of a coal mine. On the south wall of the chamber the letters ""Granite Wall"" are etched in the rock. To the east is a long passage, and there is a steep metal slide twisting downward. To the north is a small opening."
92,obj,THIEF,袋を持ち、壁により掛かった、怪しげな人物が/彼は危なげな短剣を構えて,"A SUSPICIOUS-LOOKING INDIVIDUAL, HOLDING A LARGE BAG, LEANS AGAINST THE WALL. HE IS POISED WITH A DANGEROUS STILETTO.","There is a suspicious-looking individual, holding a large bag, leaning against one wall. He is armed with a deadly stiletto."
